,cluster_id,product_id,product_name,brand,link,listed_price
193,303.0,421900,Nueces Pecan Peladas MARIPOSA 100 g,-,https://www.devoto.com.uy/nueces-pecan-peladas-mariposa-pt-100g-421900/p,219.0
194,303.0,686717,Miel pura de abeja CABRAL 480 g,CABRAL,https://www.devoto.com.uy/miel-pura-de-abeja-cabral-fco-480-g-686717/p,203.0
195,303.0,686716,Miel pura de abeja CABRAL 180 g,CABRAL,https://www.devoto.com.uy/miel-pura-de-abeja-cabral-pt-180-g-686716/p,119.0
196,303.0,690852,Higos en almíbar ODERICH 830 g,ODERICH,https://www.devoto.com.uy/higos-en-almibar-oderich-830-g-690852/p,218.0
197,303.0,692030,Higos en almíbar RIO DE LA PLATA 820 g,RIO DE LA PLATA,https://www.devoto.com.uy/higos-en-almibar-rio-de-la-plata-820-g-692030/p,242.0
198,304.0,598683,Cuchilla cerámica 15 cm hoja blanca mango verde,KIMURA,https://www.devoto.com.uy/cuchilla-ceramica-15cm-hoja-blanca-mango-verde-598683/p,799.0
199,304.0,417676,Set x 4 servilletas 40x40 cm con botón azul,-,https://www.devoto.com.uy/set-x-4-servilletas-40x40-cm-con-boton-azul-417676/p,365.0
200,304.0,406649,Set x 3 bandejas de madera,-,https://www.devoto.com.uy/set-x-3-bandejas-de-madera-406649/p,990.0
201,304.0,642557,Copetinero 3 reparticiones en madera 40x11x5 cm,-,https://www.devoto.com.uy/copetinero-madera-3rep-40x11x5cm-642557/p,749.0
202,304.0,642546,"Bandeja madera 27,3x12x2,5cm",HOME,https://www.devoto.com.uy/bandeja-madera-27-3-x-12-x-2-5-cm-642546/p,229.0
203,304.0,680250,Pinchos pocker 10 cm x 20 un.,-,https://www.devoto.com.uy/pinchos-pocker-10-cm-20-un-680250/p,10.0
204,305.0,421901,Nueces Pecan Peladas MARIPOSA 200 g,-,https://www.devoto.com.uy/nueces-pecan-peladas-mariposa-pt-200g-421901/p,389.0
205,305.0,421900,Nueces Pecan Peladas MARIPOSA 100 g,-,https://www.devoto.com.uy/nueces-pecan-peladas-mariposa-pt-100g-421900/p,219.0
206,305.0,455546,Castaña de cajú natural 300 g,-,https://www.devoto.com.uy/castana-de-caju-natural-300-g-455546/p,489.0
207,305.0,669740,Girasol semilla LA ABUNDANCIA giracorn 200 g,LA ABUNDANCIA,https://www.devoto.com.uy/girasol-semilla-giracorn-la-abundancia-200-g-669740/p,99.0
208,305.0,661653,Miel pura de abeja CABRAL 180 g,CABRAL,https://www.devoto.com.uy/miel-pura-de-abeja-cabral-180-g-661653/p,119.0
209,305.0,530040,Azúcar blanca AZUCARLITO nylon 1 kg,AZUCARLITO,https://www.devoto.com.uy/azucar-blanca-azucarlito-nylon-1-kg-530040/p,50.0
210,305.0,750847,Vainilla líquida EMIGRANTE 60 ml,EMIGRANTE,https://www.devoto.com.uy/vainilla-liquida-el-emigrante-60-ml-750847/p,147.0
211,306.0,640295,Sartén 26 cm Paris,TRAMONTINA,https://www.devoto.com.uy/sarten-26-cm-paris-640295/p,690.0
212,306.0,792879,Contenedor rectangular 785 ml SAN REMO,SAN REMO,https://www.devoto.com.uy/contenedor-rectangular-785-ml-san-remo-792879/p,49.0
213,306.0,349478,Batidora Bosch Mod. MFQ3030 350w manual,BOSCH,https://www.devoto.com.uy/batidora-bosch-mod-mfq3030-350w-manual--349478/p,2322.0
